id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1114,Uttar Pradesh,Tamil Nadu,0,0,1788000,0,0,45086063,0,47759486,0,0,0,81871319,223104000,571009119,0,705757930,93244800,495477845,TN,UP
1115,Uttarakhand,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65697378,TN,UR
1116,West Bengal,Tamil Nadu,0,273348162,0,1232061914,0,1022162693,0,588673907,0,403106314,0,1220038665,0,2771910650,0,2564143120,91836800,7046394264,TN,WB
1117,Andaman & Nicobar Islands,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,AN
1118,Andhra Pradesh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,AP
1119,Arunachal Pradesh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,AR
1120,Assam,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,AS
1121,Bihar,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,BR
1122,Chandigarh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,CN
1123,Chattisgarh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,CH
1124,Dadra & Nagar Haveli,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,DN
1125,Daman & Diu,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,DD
1126,Delhi,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,DL
1127,Goa,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,GA
1128,Gujarat,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,GJ
1129,Haryana,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,HR
1130,Himachal Pradesh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,HP
1131,Jammu & Kashmir,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,JK
1132,Jharkhand,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,JH
1133,Karnataka,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,KA
1134,Kerala,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,KL
1135,Lakshadeep,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,LD
1136,Madhya Pradesh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,MP
1137,Maharashtra,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,MH
1138,Manipur,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,MN
1139,Meghalaya,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,ML
1140,Mizoram,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,MZ
1141,Nagaland,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,NL
1142,Odisha,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,OD
1143,Puducherry,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,PD
1144,Punjab,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,PN
1145,Rajasthan,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,RJ
1146,Sikkim,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,SK
1147,Tamil Nadu,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,TN
1148,Telangana,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,TE
1149,Tripura,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,TR
1150,Uttar Pradesh,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,UP
1151,Uttarakhand,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,UR
1152,West Bengal,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,WB
1153,Andaman & Nicobar Islands,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,AN
1154,Andhra Pradesh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,AP
1155,Arunachal Pradesh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,AR
1156,Assam,Tripura,0,3476466,0,63193440,0,33351724,0,0,0,4892912,0,8577927,1456350,68681196,0,29782838,0,0,TR,AS
1157,Bihar,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,BR
1158,Chandigarh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,CN
1159,Chattisgarh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,CH
1160,Dadra & Nagar Haveli,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,DN
1161,Daman & Diu,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,DD
1162,Delhi,Tripura,0,0,0,0,0,0,0,0,0,0,0,518118,0,4204430,0,0,0,0,TR,DL
1163,Goa,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,GA
1164,Gujarat,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,GJ
1165,Haryana,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,HR
1166,Himachal Pradesh,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,HP
1167,Jammu & Kashmir,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,JK
1168,Jharkhand,Tripura,0,0,0,2188685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,JH
1169,Karnataka,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,KA
1170,Kerala,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,KL
1171,Lakshadeep,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,LD
1172,Madhya Pradesh,Tripura,0,0,0,5877161598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,MP
1173,Maharashtra,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,MH
1174,Manipur,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,MN
1175,Meghalaya,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,ML
1176,Mizoram,Tripura,0,0,0,69519036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,MZ
1177,Nagaland,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,NL
1178,Odisha,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,OD
1179,Puducherry,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,PD
1180,Punjab,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,PN
1181,Rajasthan,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TR,RJ
